"","pfam_desc","gene_name1"
"146","Ubiquitin carboxyl-terminal hydrolase","AT3G14400"
"147","Plant protein of unknown function (DUF641)","AT2G30380"
"148","Protein of unknown function (DUF1022)","AT5G22350"
"149","Universal stress protein family","AT3G62550"
"150","Homeobox domain","AT3G61890"
"151","Homeobox associated leucine zipper","AT3G61890"
"152","Domain of unknown function DUF26","AT4G23310"
"153","Protein tyrosine kinase","AT4G23310"
"154","2-oxoacid dehydrogenases acyltransferase (catalytic domain)","AT4G26910"
"155","Biotin-requiring enzyme","AT4G26910"
"156","Calcineurin-like phosphoesterase","AT5G27840"
"157","14-3-3 protein","AT2G10450"
"158","Serine hydrolase (FSH1)","AT1G09280"
"159","LSM domain","AT1G65700"
"160","U-box domain","AT3G07360"
"161","DEAD/DEAH box helicase","AT5G14610"
"162","WW domain","AT5G14610"
"163","Helicase conserved C-terminal domain","AT5G14610"
"164","Sugar (and other) transporter","AT3G05165"
"165","Cytochrome C assembly protein","ATMG00900"
"166","Histone deacetylase domain","AT1G08460"
"167","Leucine Rich Repeat","AT1G04210"
"168","Protein kinase domain","AT1G04210"
"169","NB-ARC domain","AT1G58400"
"170","Phenylalanine and histidine ammonia-lyase","AT3G53260"
"171","FBD","AT1G05080"
"172","F-box domain","AT1G05080"
"173","Leucine Rich Repeat","AT1G05080"
"174","Sec61beta family","AT2G45070"
"175","C-terminal proteasome-interacting domain of thioredoxin-like","AT3G04780"
"176","Lsm interaction motif","AT4G24270"
"177","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT4G24270"
"178","SKIP/SNW domain","AT1G77180"
"179","Tetratricopeptide repeat","AT5G56290"
"180","MATH domain","AT1G04300"
"181","Domain of unknown function DUF220","AT1G23580"
"182","Cytochrome P450","AT5G10610"
"183","Zinc finger, C3HC4 type (RING finger)","AT3G58030"
"184","ATPase family associated with various cellular activities (AAA)","AT1G53750"
"185","Sel1 repeat","AT2G25570"
"186","EamA-like transporter family","AT3G28080"
"187","MatE","AT4G21910"
"188","AP2 domain","AT2G41710"
"189","FAD binding domain","AT5G67030"
"190","Zinc finger, C3HC4 type (RING finger)","AT4G33565"
"191","7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)","AT4G30000"
"192","Pterin binding enzyme","AT4G30000"
"193","UBA/TS-N domain","AT1G79650"
"194","Ubiquitin family","AT1G79650"
"195","XPC-binding domain","AT1G79650"
"196","GDP-fucose protein O-fucosyltransferase","AT1G20550"
"197","Ribosomal protein S21","AT3G26360"
"198","PPR repeat","AT3G04130"
"199","Ribulose-1,5-bisphosphate carboxylase small subunit","AT5G38410"
"200","Ribulose bisphosphate carboxylase, small chain","AT5G38410"
"201","Protease inhibitor/seed storage/LTP family","AT4G30880"
"202","Cupin","AT1G09560"
"203","PHD-finger","AT5G16680"
"204","Bacterial extracellular solute-binding proteins, family 3","AT1G42540"
"205","Ligand-gated ion channel","AT1G42540"
"206","Receptor family ligand binding region","AT1G42540"
"207","Auxin responsive protein","AT1G72430"
"208","POT family","AT5G19640"
"209","Vacuolar (H+)-ATPase G subunit","AT3G01390"
"210","Rieske [2Fe-2S] domain","AT4G03280"
"211","Cytochrome B6-F complex Fe-S subunit","AT4G03280"
"212","Plant thionin","AT1G66100"
"213","Leucine Rich Repeat","AT1G51805"
"214","Protein kinase domain","AT1G51805"
"215","Arabidopsis proteins of unknown function","AT1G70230"
"216","Zinc finger, C3HC4 type (RING finger)","AT1G53820"
"217","GNS1/SUR4 family","AT3G06470"
"218","Ribosomal protein L31","AT5G55125"
"219","X8 domain","AT5G53610"
"220","PPPDE putative peptidase domain","AT1G47740"
"221","K+ potassium transporter","AT4G19960"
"222","Leucine rich repeat N-terminal domain","AT1G31420"
"223","Leucine Rich Repeat","AT1G31420"
"224","Protein kinase domain","AT1G31420"
"225","Protein of unknown function (DUF1475)","AT1G22750"
"226","Legume lectin domain","AT5G42120"
"227","Protein kinase domain","AT5G42120"
"228","Zinc finger, C3HC4 type (RING finger)","AT3G10910"
"229","Phosphofructokinase","AT1G20950"
"230","Ribosomal protein L7/L12 C-terminal domain","AT3G27830"
"231","Cellulose synthase","AT2G33100"
"232","NAF domain","AT5G58380"
"233","Protein kinase domain","AT5G58380"
"234","Carbamoyl-phosphate synthase L chain, N-terminal domain","AT1G03090"
"235","Carbamoyl-phosphate synthase L chain, ATP binding domain","AT1G03090"
"236","Biotin-requiring enzyme","AT1G03090"
"237","Biotin carboxylase C-terminal domain","AT1G03090"
"238","bZIP transcription factor","AT5G65210"
"239","Hsp70 protein","AT1G09080"
"240","Calmodulin binding protein-like","AT5G62570"
"241","Domain of unknown function DUF26","AT5G41300"
"242","Poly A polymerase head domain","AT1G28090"
"243","UDP-glucoronosyl and UDP-glucosyl transferase","AT5G05860"
"244","Carbonic anhydrase","AT1G23730"
"245","Domain of unknown function DUF221","AT4G04340"
"246","NB-ARC domain","AT1G15890"
"247","Leucine Rich Repeat","AT1G15890"
"248","AP2 domain","AT1G53910"
"249","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT1G06960"
"250","Aldo/keto reductase family","AT2G21260"
"251","Arginine-tRNA-protein transferase, N terminus","AT3G11240"
"252","Arginine-tRNA-protein transferase, C terminus","AT3G11240"
"253","ATPase family associated with various cellular activities (AAA)","AT2G45500"
"254","MIT (microtubule interacting and transport) domain","AT2G45500"
"255","Glutaredoxin","AT5G18600"
"256","Frigida-like protein","AT5G27230"
"257","Biotin/lipoate A/B protein ligase family","AT1G37150"
"258","Permease family","AT2G26510"
"259","Ribulose-1,5-bisphosphate carboxylase small subunit","AT5G38430"
"260","Ribulose bisphosphate carboxylase, small chain","AT5G38430"
"261","Heavy-metal-associated domain","AT3G53530"
"262","Tetratricopeptide repeat","AT3G27960"
"263","DHHC zinc finger domain","AT4G22753"
"264","Fatty acid hydroxylase superfamily","AT4G22753"
"265","XPG N-terminal domain","AT1G29630"
"266","XPG I-region","AT1G29630"
"267","Kua-ubiquitin conjugating enzyme hybrid localisation domain","AT4G27030"
"268","Reversibly glycosylated polypeptide","AT5G50750"
"269","Sucrose synthase","AT5G37180"
"270","Glycosyl transferases group 1","AT5G37180"
"271","CRS1 / YhbY (CRM) domain","AT2G28480"
"272","DnaJ domain","AT3G08970"
"273","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT5G59950"
"274","VQ motif","AT1G78410"
"275","Zinc finger, C3HC4 type (RING finger)","AT5G52150"
"276","Helix-loop-helix DNA-binding domain","AT1G69010"
"277","FBD","AT1G66300"
"278","Leucine Rich Repeat","AT1G66300"
"279","Calcineurin-like phosphoesterase","AT5G63870"
"280","Xyloglucan fucosyltransferase","AT1G14070"
"281","Regulator of chromosome condensation (RCC1) repeat","AT3G15430"
"282","Protein of unknown function DUF88","AT5G39640"
"283","Heavy-metal-associated domain","AT5G50740"
"284","Calreticulin family","AT1G56340"
"285","Phospholipase/Carboxylesterase","AT4G31020"
"286","Cotton fibre expressed protein","AT4G04990"
"287","Universal stress protein family","AT3G58450"
"288","Oxysterol-binding protein","AT4G22540"
"289","Helix-loop-helix DNA-binding domain","AT3G25710"
"290","ATPase family associated with various cellular activities (AAA)","AT2G29680"
"291","CDC6, C terminal","AT2G29680"
"292","Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain","AT5G47890"
"293","C2 domain","AT1G48590"
"294","Leucine rich repeat N-terminal domain","AT4G13920"
"295","Leucine Rich Repeat","AT4G13920"
"296","NB-ARC domain","AT1G57650"
"297","Leucine Rich Repeat","AT1G57650"
"298","Zinc finger, C3HC4 type (RING finger)","AT5G37250"
"299","PRA1 family protein","AT1G55190"
"300","Occludin homology domain","AT3G21290"
"301","Protein of unknown function (DUF1278)","AT5G52965"
"302","Domain of unknown function DUF223","AT2G05642"
"303","Replication factor-A C terminal domain","AT2G05642"
"304","X8 domain","AT1G66870"
"305","Membrane transport protein","AT2G01420"
"306","Domain of unknown function DUF220","AT1G23570"
"307","Protein of unknown function (DUF3755)","AT1G60670"
"308","MatE","AT5G44050"
"309","Helicase conserved C-terminal domain","AT1G48310"
"310","SNF2 family N-terminal domain","AT1G48310"
"311","COG (conserved oligomeric Golgi) complex component, COG2","AT4G24840"
"312","Domain of unknown function (DUF3510)","AT4G24840"
"313","Hsp90 protein","AT5G56030"
"314","Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase","AT5G56030"
"315","Dof domain, zinc finger","AT1G28310"
"316","Initiation factor 2 subunit family","AT3G07300"
"317","No apical meristem (NAM) protein","AT5G09330"
"318","alpha/beta hydrolase fold","AT5G22460"
"319","AP2 domain","AT2G28550"
"320","Plant protein 1589 of unknown function (A_thal_3526)","AT3G61700"
"321","Domain of unknown function DUF223","AT1G52950"
"322","Replication factor-A C terminal domain","AT1G52950"
"323","CHCH domain","AT4G23760"
"324","Berberine and berberine like","AT2G34810"
"325","FAD binding domain","AT2G34810"
"326","Protein of unknown function (DUF1677)","AT5G20670"
"327","Zinc finger C-x8-C-x5-C-x3-H type (and similar)","AT5G49200"
"328","WD domain, G-beta repeat","AT5G49200"
"329","Phosphatidylinositol-glycan biosynthesis class S protein","AT3G07180"
"330","Protein of unknown function (DUF1012)","AT5G02940"
"331","Tubulin/FtsZ family, GTPase domain","AT1G75780"
"332","Tubulin C-terminal domain","AT1G75780"
"333","Protein of unknown function, DUF607","AT2G23790"
"334","Translocon-associated protein beta (TRAPB)","AT5G14030"
"335","Rapid ALkalinization Factor (RALF)","AT4G11653"
"336","WRKY DNA -binding domain","AT2G37260"
"337","Ribosomal protein L37e","AT1G15250"
"338","B3 DNA binding domain","AT1G20600"
"339","Hsp20/alpha crystallin family","AT4G25200"
"340","GRAM domain","AT5G23350"
"341","Dirigent-like protein","AT1G55210"
"342","Sterol methyltransferase C-terminal","AT1G20330"
"343","Methyltransferase domain","AT1G20330"
"344","FAD binding domain","AT2G29720"
"345","Dof domain, zinc finger","AT5G60850"
"346","Serine carboxypeptidase","AT2G22980"
"347","Proline dehydrogenase","AT3G30775"
"348","Protein of unknown function (DUF3571)","AT5G39210"
"349","Protein of unknown function (DUF1423)","AT3G07780"
"350","Plant invertase/pectin methylesterase inhibitor","AT5G04970"
"351","Pectinesterase","AT5G04970"
"352","Cytochrome b5-like Heme/Steroid binding domain","AT3G48890"
"353","Domain of unknown function (DUF1785)","AT5G21030"
"354","Piwi domain","AT5G21030"
"355","PAZ domain","AT5G21030"
"356","NB-ARC domain","AT3G44630"
"357","Leucine Rich Repeat","AT3G44630"
"358","TIR domain","AT3G44630"
"359","Protein of unknown function, DUF547","AT4G37080"
"360","Prenyltransferase and squalene oxidase repeat","AT4G15370"
"361","Putative lysophospholipase","AT2G39410"
"362","Protein of unknown function, DUF593","AT1G08800"
"363","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT4G35785"
"364","Got1/Sft2-like family","AT5G01430"
"365","WD domain, G-beta repeat","AT4G21530"
"366","Bystin","AT1G31660"
"367","Protease inhibitor/seed storage/LTP family","AT2G38540"
"368","AMP-binding enzyme","AT5G38120"
"369","Mak16 protein C-terminal region","AT1G23280"
"370","Sodium/calcium exchanger protein","AT1G55730"
"371","Zinc finger C-x8-C-x5-C-x3-H type (and similar)","AT3G21810"
"372","Cyclin","AT5G07450"
"373","Met-10+ like-protein","AT3G56120"
"374","F-box associated","AT3G22940"
"375","Nicotianamine synthase protein","AT4G26483"
"376","Protein kinase domain","AT3G45240"
"377","FHA domain","AT2G45460"
"378","Tetratricopeptide repeat","AT1G12270"
"379","Homocysteine S-methyltransferase","AT3G25900"
"380","Cytochrome P450","AT2G34490"
"381","Endonuclease/Exonuclease/phosphatase family","AT1G65580"
"382","Protein of unknown function (DUF1278)","AT4G09545"
"383","Guanylate-binding protein, N-terminal domain","AT1G03830"
"384","Guanylate-binding protein, C-terminal domain","AT1G03830"
"385","UDP-glucoronosyl and UDP-glucosyl transferase","AT3G02100"
"386","Domain of Unknown Function (DUF1087)","AT2G25170"
"387","Domain of Unknown Function (DUF1086)","AT2G25170"
"388","SNF2 family N-terminal domain","AT2G25170"
"389","'chromo' (CHRromatin Organisation MOdifier) domain","AT2G25170"
"390","Helicase conserved C-terminal domain","AT2G25170"
"391","PHD-finger","AT2G25170"
"392","Armadillo/beta-catenin-like repeat","AT1G51350"
"393","Arabidopsis proteins of unknown function","AT2G42570"
"394","Nucleotide-diphospho-sugar transferase","AT1G56550"
"395","Sec61beta family","AT3G60540"
"396","Protein kinase domain","AT1G09440"
"397","Protein kinase domain","AT4G14350"
"398","Protein kinase C terminal domain","AT4G14350"
"399","Helix-loop-helix DNA-binding domain","AT2G43010"
"400","Plant protein of unknown function (DUF639)","AT1G71240"
"401","Sucrose-6F-phosphate phosphohydrolase","AT4G10120"
"402","Sucrose synthase","AT4G10120"
"403","Glycosyl transferases group 1","AT4G10120"
"404","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT1G55310"
"405","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT2G37340"
"406","Zinc knuckle","AT2G37340"
"407","Domain of unknown function DUF221","AT4G02900"
"408","UDP-glucose:Glycoprotein Glucosyltransferase","AT1G71220"
"409","Glycosyl transferase family 8","AT1G71220"
"410","Proteasome subunit A N-terminal signature","AT1G79210"
"411","Proteasome subunit","AT1G79210"
"412","Myb-like DNA-binding domain","AT3G27920"
"413","Asp/Glu/Hydantoin racemase","AT1G15410"
"414","Myb-like DNA-binding domain","AT4G39160"
"415","NAF domain","AT5G01810"
"416","Protein kinase domain","AT5G01810"
"417","GDSL-like Lipase/Acylhydrolase","AT5G22810"
"418","Zinc finger, C3HC4 type (RING finger)","AT2G01150"
"419","Putative methyltransferase","AT5G01470"
"420","Aldehyde dehydrogenase family","AT2G14170"
"421","NADPH-dependent FMN reductase","AT5G54500"
"422","Dehydrin","AT1G20440"
"423","C1 domain","AT1G55440"
"424","C1-like domain","AT1G55440"
"425","NB-ARC domain","AT5G46520"
"426","Leucine Rich Repeat","AT5G46520"
"427","TIR domain","AT5G46520"
"428","AP2 domain","AT4G13040"
"429","NB-ARC domain","AT4G19510"
"430","Leucine Rich Repeat","AT4G19510"
"431","TIR domain","AT4G19510"
"432","S25 ribosomal protein","AT2G21580"
"433","Terpene synthase family, metal binding domain","AT1G61120"
"434","Terpene synthase, N-terminal domain","AT1G61120"
"435","F-box domain","AT3G44326"
"436","B3 DNA binding domain","AT4G31630"
"437","Copine","AT1G67800"
"438","Heavy-metal-associated domain","AT1G29000"
"439","PAP_fibrillin","AT2G42130"
"440","Sir2 family","AT5G09230"
"441","56kDa selenium binding protein (SBP56)","AT4G14030"
"442","Ubiquitin-conjugating enzyme","AT3G17000"
"443","bZIP transcription factor","AT1G19490"
"444","YL1 nuclear protein C-terminal domain","AT2G36740"
"445","YL1 nuclear protein","AT2G36740"
"446","Lipase (class 3)","AT3G14360"
"447","GC-rich sequence DNA-binding factor-like protein","AT5G08550"
"448","SRP72 RNA-binding domain","AT1G67650"
"449","Peroxisomal biogenesis factor 11 (PEX11)","AT3G47430"
"450","Uncharacterized protein family UPF0007","AT2G02500"
"451","Berberine and berberine like","AT4G20800"
"452","FAD binding domain","AT4G20800"
"453","Arabidopsis proteins of unknown function","AT2G20170"
"454","Ribosomal protein L18e/L15","AT1G12960"
"455","FAD linked oxidases, C-terminal domain","AT4G36400"
"456","FAD binding domain","AT4G36400"
"457","Cytochrome P450","AT2G02580"
"458","Mitochondrial carrier protein","AT1G25380"
"459","Polyketide cyclase / dehydrase and lipid transport","AT5G45860"
"460","Protein kinase domain","AT5G67380"
"461","Conserved hypothetical ATP binding protein","AT4G12790"
"462","Trypsin","AT5G40200"
"463","Alg9-like mannosyltransferase family","AT1G02145"
"464","Protein kinase domain","AT2G45490"
"465","WIYLD domain","AT1G45248"
"466","Zinc-finger domain of monoamine-oxidase A repressor R1","AT2G23530"
"467","Hsp20/alpha crystallin family","AT2G29500"
"468","Heavy-metal-associated domain","AT2G28660"
"469","Calcineurin-like phosphoesterase","AT2G32770"
"470","Cysteine-rich secretory protein family","AT4G25780"
"471","Transcriptional Coactivator p15 (PC4)","AT5G09250"
"472","Glycosyl hydrolase family 79, N-terminal domain","AT5G34940"
"473","short chain dehydrogenase","AT2G29150"
"474","Pyridoxal-phosphate dependent enzyme","AT5G28020"
"475","Transmembrane amino acid transporter protein","AT2G40420"
"476","Thaumatin family","AT4G38670"
"477","Protein of unknown function DUF260","AT2G42430"
"478","PPPDE putative peptidase domain","AT4G17486"
"479","Glycosyl hydrolases family 17","AT2G26600"
"480","Wall-associated kinase","AT1G16160"
"481","Protein kinase domain","AT1G16160"
"482","Glycosyl hydrolase family 1","AT5G25980"
"483","Quinolinate phosphoribosyl transferase, N-terminal domain","AT2G01350"
"484","Quinolinate phosphoribosyl transferase, C-terminal domain","AT2G01350"
"485","Seven in absentia protein family","AT1G66620"
"486","UbiA prenyltransferase family","AT4G23660"
"487","Pumilio-family RNA binding repeat","AT4G25880"
"488","Lung seven transmembrane receptor","AT1G10980"
"489","Armadillo/beta-catenin-like repeat","AT5G03070"
"490","Armadillo/beta-catenin-like repeat","AT3G26600"
"491","Protein of unknown function (DUF567)","AT1G63410"
"492","2OG-Fe(II) oxygenase superfamily","AT4G22870"
"493","SPFH domain / Band 7 family","AT5G25260"
"494","Leucine Rich Repeat","AT1G51880"
"495","Protein tyrosine kinase","AT1G51880"
"496","Protein of unknown function (DUF1677)","AT1G79770"
"497","Squalene epoxidase","AT4G37760"
"498","FAD binding domain","AT4G37760"
"499","BAH domain","AT4G22140"
"500","PHD-finger","AT4G22140"
"501","Late embryogenesis abundant protein","AT4G05220"
"502","D-mannose binding lectin","AT1G16905"
"503","Transferase family","AT5G48930"
"504","DVL family","AT1G64585"
"505","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD","AT2G16600"
"506","Glutamine synthetase, catalytic domain","AT1G48470"
"507","Glutamine synthetase, beta-Grasp domain","AT1G48470"
"508","NADH-ubiquinone oxidoreductase subunit 10","AT3G18410"
"509","Rare lipoprotein A (RlpA)-like double-psi beta-barrel","AT3G15370"
"510","Pollen allergen","AT3G15370"
"511","Core histone H2A/H2B/H3/H4","AT3G45980"
"512","beta-Glucocerebrosidase 2 N terminal","AT3G24180"
"513","Protein of unknown function, DUF608","AT3G24180"
"514","C2 domain","AT5G55530"
"515","Triose-phosphate Transporter family","AT1G19770"
"516","Plant protein of unknown function","AT3G50160"
"517","C1 domain","AT1G45243"
"518","C1-like domain","AT1G45243"
"519","beta-Glucocerebrosidase 2 N terminal","AT1G33700"
"520","Protein of unknown function, DUF608","AT1G33700"
"521","B-box zinc finger","AT3G21890"
"522","pfkB family carbohydrate kinase","AT1G06030"
"523","FBD","AT5G56800"
"524","Leucine Rich Repeat","AT5G56800"
"525","Nucleoside diphosphate kinase","AT5G63310"
"526","Cytidylyltransferase family","AT4G22340"
"527","Strictosidine synthase","AT3G51430"
"528","Glycosyl hydrolase family 3 C terminal domain","AT5G49360"
"529","Glycosyl hydrolase family 3 N terminal domain","AT5G49360"
"530","F-box associated","AT1G64295"
"531","PH domain","AT4G08180"
"532","Oxysterol-binding protein","AT4G08180"
"533","Histone deacetylase domain","AT5G61060"
"534","Protein of unknown function, DUF642","AT4G32460"
"535","Protein of unknown function (DUF1639)","AT1G55340"
"536","X8 domain","AT5G24318"
"537","Glycosyl hydrolases family 17","AT5G24318"
"538","Photosystem I psaA/psaB protein","ATCG00350"
"539","PA domain","AT4G10550"
"540","Subtilase family","AT4G10550"
"541","Peptidase inhibitor I9","AT4G10550"
"542","2OG-Fe(II) oxygenase superfamily","AT5G63595"
"543","Signal peptidase subunit","AT3G05230"
"544","Protein of unknown function (DUF1644)","AT1G80220"
"545","Plant protein of unknown function (DUF822)","AT4G18890"
"546","Formin Homology 2 Domain","AT3G05470"
"547","Arabidopsis proteins of unknown function","AT2G17750"
"548","Peroxin-3","AT1G48635"
"549","Sigma-70 region 3","AT2G36990"
"550","Sigma-70 region 2","AT2G36990"
"551","Sigma-70, region 4","AT2G36990"
"552","Triose-phosphate Transporter family","AT3G10290"
"553","Ribosomal Proteins L2, C-terminal domain","AT2G44065"
"554","MA3 domain","AT5G17930"
"555","Domain of unknown function DUF221","AT3G01100"
"556","Myosin II heavy chain-like","AT1G24764"
"557","DHHC zinc finger domain","AT4G01730"
"558","F-box domain","AT1G51320"
"559","F-box associated","AT1G51320"
"560","Plant protein of unknown function (DUF827)","AT3G13190"
"561","VHS domain","AT5G16880"
"562","GAT domain","AT5G16880"
